title,price,year,km,url,petrol,transmission,model,site,use_type
Mercedes Benz C Class C220d coupe AMG Line,699900.0,2019,1500.0,/cars/mercedes-benz-c-class-c220d-coupe-amg-line-2019-id-5552527,Diesel,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz C Class C220 Bluetec Avantgarde auto,303900.0,2015,91000.0,/cars/mercedes-benz-c-class-c220-bluetec-avantgarde-auto-2015-id-5830245,Diesel,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz ML 250 BlueTec,319900.0,2013,134000.0,/cars/mercedes-benz-ml-250-bluetec-2013-id-5837171,Diesel,Automatic,ML,https://www.automart.co.za,
Mercedes Benz GLC 220d coupe 4Matic AMG Line,678800.0,2017,52000.0,/cars/mercedes-benz-glc-220d-coupe-4matic-amg-line-2017-id-5840371,Diesel,Automatic,GL,https://www.automart.co.za,
Mercedes Benz CLA 200 AMG Line auto,794900.0,2020,2600.0,/cars/mercedes-benz-cla-200-amg-line-auto-2020-id-5840864,Petrol,Automatic,CLA,https://www.automart.co.za,
Mercedes Benz GLE 350d,599900.0,2016,79000.0,/cars/mercedes-benz-gle-350d-2016-id-5840871,Diesel,Automatic,GL,https://www.automart.co.za,
Mercedes Benz A Class A200 Style auto,419900.0,2018,32000.0,/cars/mercedes-benz-a-class-a200-style-auto-2018-id-5842687,Petrol,Automatic,A-Class,https://www.automart.co.za,
Mercedes Benz C Class C180 Avantgarde AMG Sports,399900.0,2016,64000.0,/cars/mercedes-benz-c-class-c180-avantgarde-amg-sports-2016-id-5842699,Petrol,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz GLE ,1467900.0,2020,5000.0,/cars/mercedes-benz-gle-2020-id-5802799,,,GL,https://www.automart.co.za,
Mercedes Benz C Class C200 AMG Sports auto,692900.0,2019,2000.0,/cars/mercedes-benz-c-class-c200-amg-sports-auto-2019-id-5802826,Petrol,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz C Class C200 Avantgarde AMG Sports,669900.0,2019,2000.0,/cars/mercedes-benz-c-class-c200-avantgarde-amg-sports-2019-id-5803348,Petrol,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz C-Class Coupe C200 AMG COUPE A/T,746900.0,2020,1500.0,/cars/mercedes-benz-c-class-coupe-c200-amg-coupe-a-t-2020-id-5804675,Petrol,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz A Class A220d Style,289900.0,2015,82000.0,/cars/mercedes-benz-a-class-a220d-style-2015-id-5807403,Diesel,Automatic,A-Class,https://www.automart.co.za,
Mercedes Benz A-Class Sedan A200 (4DR),628900.0,2020,1500.0,/cars/mercedes-benz-a-class-sedan-a200-4dr-2020-id-5808540,Petrol,Automatic,A-Class,https://www.automart.co.za,
Mercedes Benz A Class A200 Style auto,505900.0,2019,6500.0,/cars/mercedes-benz-a-class-a200-style-auto-2019-id-5642905,Petrol,Automatic,A-Class,https://www.automart.co.za,
Mercedes Benz C-Class Sedan C200 AMG LINE A/T,419900.0,2016,70000.0,/cars/mercedes-benz-c-class-sedan-c200-amg-line-a-t-2016-id-5658762,Petrol,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz C Class C220d AMG Sports auto,649900.0,2019,100.0,/cars/mercedes-benz-c-class-c220d-amg-sports-auto-2019-id-5659227,Diesel,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz A Class A200d Style auto,328800.0,2017,67000.0,/cars/mercedes-benz-a-class-a200d-style-auto-2017-id-5669512,Diesel,Automatic,A-Class,https://www.automart.co.za,
Mercedes Benz C-Class C180 Edition C,479900.0,2018,15000.0,/cars/mercedes-benz-c-class-c180-edition-c-2018-id-5572520,Petrol,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz GLC 300 4Matic Exclusive,588800.0,2016,50000.0,/cars/mercedes-benz-glc-300-4matic-exclusive-2016-id-5584587,Petrol,Automatic,GL,https://www.automart.co.za,
Mercedes Benz V-Class V220d A/T,969900.0,2019,25000.0,/cars/mercedes-benz-v-class-v220d-a-t-2019-id-5621315,Diesel,Automatic,V-Class,https://www.automart.co.za,
Mercedes Benz C Class C180 Avantgarde AMG Sports,399900.0,2016,64000.0,/cars/mercedes-benz-c-class-c180-avantgarde-amg-sports-2016-id-5842699,Petrol,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz A Class A45 AMG 4Matic,398900.0,2015,103000.0,/cars/mercedes-benz-a-class-a45-amg-4matic-2015-id-5854086,Petrol,Automatic,A-Class,https://www.automart.co.za,
Mercedes Benz GLE 350d,749900.0,2017,54915.0,/cars/mercedes-benz-gle-350d-2017-id-5874673,Diesel,Automatic,GL,https://www.automart.co.za,
Mercedes Benz C Class C200 coupe AMG Line auto,754900.0,2020,2600.0,/cars/mercedes-benz-c-class-c200-coupe-amg-line-auto-2020-id-5798950,Petrol,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz GLA 200 A/T,549900.0,2020,150.0,/cars/mercedes-benz-gla-200-a-t-2020-id-5798993,Petrol,Automatic,GL,https://www.automart.co.za,
Mercedes Benz GLE ,1467900.0,2020,5000.0,/cars/mercedes-benz-gle-2020-id-5802799,,,GL,https://www.automart.co.za,
Mercedes Benz C Class C200 AMG Sports auto,692900.0,2019,2000.0,/cars/mercedes-benz-c-class-c200-amg-sports-auto-2019-id-5802826,Petrol,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz C Class C200 Avantgarde AMG Sports,669900.0,2019,2000.0,/cars/mercedes-benz-c-class-c200-avantgarde-amg-sports-2019-id-5803348,Petrol,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz C-Class Coupe C200 AMG COUPE A/T,746900.0,2020,1500.0,/cars/mercedes-benz-c-class-coupe-c200-amg-coupe-a-t-2020-id-5804675,Petrol,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz A Class A220d Style,289900.0,2015,82000.0,/cars/mercedes-benz-a-class-a220d-style-2015-id-5807403,Diesel,Automatic,A-Class,https://www.automart.co.za,
Mercedes Benz A-Class Sedan A200 (4DR),628900.0,2020,1500.0,/cars/mercedes-benz-a-class-sedan-a200-4dr-2020-id-5808540,Petrol,Automatic,A-Class,https://www.automart.co.za,
Mercedes Benz C Class C180 Avantgarde auto,559900.0,2019,18000.0,/cars/mercedes-benz-c-class-c180-avantgarde-auto-2019-id-5798722,Petrol,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz GLC 300d,1089900.0,2020,150.0,/cars/mercedes-benz-glc-300d-2020-id-5877470,Diesel,Automatic,GL,https://www.automart.co.za,
Mercedes Benz GLA 200 auto,609900.0,2019,1500.0,/cars/mercedes-benz-gla-200-auto-2019-id-5430546,Petrol,Automatic,GL,https://www.automart.co.za,
Mercedes Benz C Class C220d auto,595900.0,2019,1500.0,/cars/mercedes-benz-c-class-c220d-auto-2019-id-5442902,Diesel,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz GLC 250d 4Matic AMG Line Coupe,849900.0,2019,21000.0,/cars/mercedes-benz-glc-250d-4matic-amg-line-coupe-2019-id-5506619,,,GL,https://www.automart.co.za,
Mercedes Benz GLA 200 auto,528800.0,2019,1500.0,/cars/mercedes-benz-gla-200-auto-2019-id-5513145,Petrol,Automatic,GL,https://www.automart.co.za,
Mercedes Benz A Class A200 Style auto,523800.0,2019,13500.0,/cars/mercedes-benz-a-class-a200-style-auto-2019-id-5514566,Petrol,Automatic,A-Class,https://www.automart.co.za,
Mercedes Benz Vito 111 CDI Tourer Pro,399900.0,2019,29000.0,/cars/mercedes-benz-vito-111-cdi-tourer-pro-2019-id-5683347,Diesel,Manual,Vito,https://www.automart.co.za,
Mercedes Benz X-Class Double Cab X250d 4X4 PROGRESSIVE A/T,539900.0,2018,23000.0,/cars/mercedes-benz-x-class-double-cab-x250d-4x4-progressive-a-t-2018-id-5683361,Diesel,Automatic,X-Class,https://www.automart.co.za,
Mercedes Benz X-Class Double Cab X250d 4X4 POWER A/T,719900.0,2019,10000.0,/cars/mercedes-benz-x-class-double-cab-x250d-4x4-power-a-t-2019-id-5683380,Diesel,Automatic,X-Class,https://www.automart.co.za,
Mercedes Benz C Class C180 AMG Sports auto,499900.0,2018,36000.0,/cars/mercedes-benz-c-class-c180-amg-sports-auto-2018-id-5623285,Petrol,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz C Class C180 Avantgarde auto,389900.0,2017,62000.0,/cars/mercedes-benz-c-class-c180-avantgarde-auto-2017-id-5658763,Petrol,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz B-Class B200d A/T (W247),637800.0,2019,8000.0,/cars/mercedes-benz-b-class-b200d-a-t-w247-2019-id-5537551,Diesel,Automatic,B-Class,https://www.automart.co.za,
Mercedes Benz E Class E250 AMG Line,750000.0,2019,21000.0,/cars/mercedes-benz-e-class-e250-amg-line-2019-id-5558867,Petrol,Automatic,E-Class,https://www.automart.co.za,
Mercedes Benz C Class C200 AMG Sports auto,419900.0,2016,70000.0,/cars/mercedes-benz-c-class-c200-amg-sports-auto-2016-id-5570878,Petrol,Automatic,C-Class,https://www.automart.co.za,
